"graph","group","pdb","chain","ligand"
0,4,"6lzg","A","B"
1,4,"6lzg","A","B"
2,6,"6lzg","A","B"
3,7,"6lzg","A","B"
4,3,"6lzg","A","B"
5,4,"6lzg","A","B"
6,2,"6lzg","A","B"
7,4,"6lzg","A","B"
8,7,"6lzg","A","B"
9,1,"6lzg","A","B"
10,4,"6lzg","A","B"
11,4,"6lzg","A","B"
12,1,"6lzg","A","B"
13,4,"6m0j","A","E"
14,6,"6m0j","A","E"
15,7,"6m0j","A","E"
16,3,"6m0j","A","E"
17,3,"6m0j","A","E"
18,7,"6m0j","A","E"
19,2,"6m0j","A","E"
20,1,"6m0j","A","E"
21,6,"6m0j","A","E"
22,4,"6m0j","A","E"
23,4,"6m0j","A","E"
24,6,"6m0j","A","E"
25,4,"7bh9","A","E"
26,6,"7bh9","A","E"
27,3,"7bh9","A","E"
28,3,"7bh9","A","E"
29,2,"7bh9","A","E"
30,4,"7bh9","A","E"
31,1,"7bh9","A","E"
32,7,"7bh9","A","E"
33,5,"7dhx","A","B"
34,3,"7dhx","A","B"
35,2,"7dhx","A","B"
36,4,"7dhx","A","B"
37,1,"7dhx","A","B"
38,4,"7dhx","A","B"
39,4,"7dhx","A","B"
40,5,"7dhx","A","B"
41,4,"7dhx","A","B"
42,3,"7dhx","A","B"
43,5,"7e3j","A","B"
44,3,"7e3j","A","B"
45,1,"7e3j","A","B"
46,3,"7e3j","A","B"
47,1,"7e3j","A","B"
48,3,"7e3j","A","B"
49,4,"7e3j","A","B"
50,2,"7e3j","A","B"
51,7,"7e3j","A","B"
52,4,"7e3j","A","B"
53,6,"7e3j","A","B"
54,4,"7e3j","A","B"
55,1,"7efp","A","B"
56,1,"7efp","A","B"
57,7,"7efp","A","B"
58,6,"7efp","A","B"
59,3,"7efp","A","B"
60,4,"7efp","A","B"
61,1,"7efp","A","B"
62,2,"7efp","A","B"
63,1,"7efp","A","B"
64,7,"7efp","A","B"
65,4,"7efp","A","B"
66,1,"7efp","A","B"
67,4,"7efp","A","B"
68,6,"7efp","A","B"
69,4,"7efp","A","B"
70,1,"7efr","A","B"
71,3,"7efr","A","B"
72,1,"7efr","A","B"
73,7,"7efr","A","B"
74,3,"7efr","A","B"
75,4,"7efr","A","B"
76,2,"7efr","A","B"
77,4,"7efr","A","B"
78,7,"7efr","A","B"
79,6,"7efr","A","B"
80,1,"7efr","A","B"
81,4,"7efr","A","B"
82,1,"7efr","A","B"
83,4,"7efr","A","B"
84,6,"7efr","A","B"
85,4,"7efr","A","B"
86,4,"7ekc","A","B"
87,1,"7ekc","A","B"
88,1,"7ekc","A","B"
89,1,"7ekc","A","B"
90,7,"7ekc","A","B"
91,2,"7ekc","A","B"
92,4,"7ekc","A","B"
93,1,"7ekc","A","B"
94,5,"7ekc","A","B"
95,4,"7ekc","A","B"
96,6,"7ekc","A","B"
97,4,"7eke","A","B"
98,5,"7eke","A","B"
99,3,"7eke","A","B"
100,3,"7eke","A","B"
101,4,"7eke","A","B"
102,3,"7eke","A","B"
103,7,"7eke","A","B"
104,1,"7eke","A","B"
105,2,"7eke","A","B"
106,4,"7eke","A","B"
107,4,"7eke","A","B"
108,1,"7eke","A","B"
109,4,"7eke","A","B"
110,4,"7ekf","A","B"
111,1,"7ekf","A","B"
112,3,"7ekf","A","B"
113,3,"7ekf","A","B"
114,4,"7ekf","A","B"
115,3,"7ekf","A","B"
116,5,"7ekf","A","B"
117,2,"7ekf","A","B"
118,1,"7ekf","A","B"
119,4,"7ekf","A","B"
120,4,"7ekf","A","B"
121,4,"7ekg","A","B"
122,6,"7ekg","A","B"
123,2,"7ekg","A","B"
124,5,"7ekg","A","B"
125,2,"7ekg","A","B"
126,4,"7ekg","A","B"
127,6,"7ekg","A","B"
128,4,"7ekg","A","B"
129,4,"7ekg","A","B"
130,6,"7ekg","A","B"
131,4,"7ekh","A","B"
132,4,"7ekh","A","B"
133,5,"7ekh","A","B"
134,7,"7ekh","A","B"
135,1,"7ekh","A","B"
136,3,"7ekh","A","B"
137,4,"7ekh","A","B"
138,2,"7ekh","A","B"
139,7,"7ekh","A","B"
140,4,"7ekh","A","B"
141,4,"7ekh","A","B"
142,5,"7ekh","A","B"
143,4,"7ekh","A","B"
144,3,"7fc5","E","A"
145,3,"7fc5","E","A"
146,4,"7fc5","E","A"
147,5,"7fc5","E","A"
148,1,"7fc5","E","A"
149,3,"7fc5","E","A"
150,6,"7fc5","E","A"
151,4,"7fc5","E","A"
152,4,"7fc5","E","A"
153,6,"7fc5","E","A"
154,4,"7lo4","A","B"
155,5,"7lo4","A","B"
156,7,"7lo4","A","B"
157,4,"7lo4","A","B"
158,2,"7lo4","A","B"
159,3,"7lo4","A","B"
160,4,"7lo4","A","B"
161,4,"7lo4","A","B"
162,2,"7lo4","A","B"
163,4,"7lo4","A","B"
164,4,"7lo4","A","B"
165,1,"7lo4","A","B"
166,4,"7lo4","A","B"
167,4,"7pki","A","E"
168,5,"7pki","A","E"
169,7,"7pki","A","E"
170,1,"7pki","A","E"
171,7,"7pki","A","E"
172,7,"7pki","A","E"
173,7,"7pki","A","E"
174,2,"7pki","A","E"
175,4,"7pki","A","E"
