P1,P2,class label
AF-A0A024QZQ1-F1.pdb,AF-A0A024QYT5-F1.pdb,6
AF-A0A0S2Z4S4-F1.pdb,AF-A0A024QYT5-F1.pdb,1
AF-A0A0S2Z4X9-F1.pdb,AF-A0A024QYT5-F1.pdb,1
AF-A0A0U2ZQU7-F1.pdb,AF-A0A024QYT5-F1.pdb,6
AF-A4D0Y8-F1.pdb,AF-A0A024QYT5-F1.pdb,6
AF-A5YM40-F1.pdb,AF-A0A024QYT5-F1.pdb,6
AF-B0LPE5-F1.pdb,AF-A0A024QYT5-F1.pdb,6
AF-K7PPA8-F1.pdb,AF-A0A024QYT5-F1.pdb,6
AF-O00716-F1.pdb,AF-A0A024QYT5-F1.pdb,4
AF-O15105-F1.pdb,AF-A0A024QYT5-F1.pdb,4
AF-O15516-F1.pdb,AF-A0A024QYT5-F1.pdb,6
AF-O43541-F1.pdb,AF-A0A024QYT5-F1.pdb,6
AF-O75116-F1.pdb,AF-A0A024QYT5-F1.pdb,6
AF-O95863-F1.pdb,AF-A0A024QYT5-F1.pdb,6
AF-P00734-F1.pdb,AF-A0A024QYT5-F1.pdb,6
AF-P00740-F1.pdb,AF-A0A024QYT5-F1.pdb,4
AF-P00748-F1.pdb,AF-A0A024QYT5-F1.pdb,4
AF-P00750-F1.pdb,AF-A0A024QYT5-F1.pdb,4
AF-P00750-F1.pdb,AF-A0A024QYT5-F1.pdb,2
AF-P01042-F1.pdb,AF-A0A024QYT5-F1.pdb,6
AF-P01133-F1.pdb,AF-A0A024QYT5-F1.pdb,6
AF-P02741-F1.pdb,AF-A0A024QYT5-F1.pdb,6
AF-P02741-F1.pdb,AF-A0A024QYT5-F1.pdb,1
AF-P04070-F1.pdb,AF-A0A024QYT5-F1.pdb,1
AF-P04070-F1.pdb,AF-A0A024QYT5-F1.pdb,4
AF-P05231-F1.pdb,AF-A0A024QYT5-F1.pdb,1
AF-P08138-F1.pdb,AF-A0A024QYT5-F1.pdb,6
AF-P13725-F1.pdb,AF-A0A024QYT5-F1.pdb,1
AF-P13725-F1.pdb,AF-A0A024QYT5-F1.pdb,6
AF-P14210-F1.pdb,AF-A0A024QYT5-F1.pdb,2
