PDB,Virus,Variant,Domain,Antibody,Receptor/Other,Resolution,Release Date,Reference
6lzg,SARS-CoV-2,Orig,RBD,,ACE2,2.5,3/18/2020,32275855
6m0j,SARS-CoV-2,Orig,RBD,,ACE2,2.45,3/18/2020,32225176
6m17,SARS-CoV-2,Orig,RBD,,"ACE2, BOAT1",2.9,3/11/2020,32132184
7a91,SARS-CoV-2,Orig,RBD,,ACE2,3.6,9/16/2020,32942285
7a92,SARS-CoV-2,Orig,RBD,,ACE2,4.2,9/30/2020,32942285
7bh9,SARS-CoV-2,none,RBD,,ACE2,2.9,2/17/2021,34400835
7c8j,SARS-CoV-2,Orig,RBD,,ACE2,3.18,1/27/2021,33335073
7ddo,SARS-CoV-2,none,RBD,,ACE2,3.4,5/19/2021,34018203
7dhx,SARS-CoV-2,Orig,RBD,,ACE2,2.3,9/29/2021,null
7dmu,SARS-CoV-2,Orig,RBD,,ACE2,3.2,12/23/2020,34155214
7dx4,SARS-CoV-2,Orig,RBD,FC08,ACE2,3.6,4/21/2021,null
7e3j,SARS-CoV-2,Orig,RBD,,ACE2,2.99,4/7/2021,34234119
7efp,SARS-CoV-2,Orig,RBD,,ACE2,2.7,11/24/2021,34531369
7efr,SARS-CoV-2,Orig,RBD,,ACE2,2.49,11/24/2021,34531369
7ekc,SARS-CoV-2,Gamma,RBD,,ACE2,2.8,11/3/2021,34671049
7eke,SARS-CoV-2,Orig,RBD,,ACE2,2.7,11/3/2021,34671049
7ekf,SARS-CoV-2,Alpha,RBD,,ACE2,2.85,11/3/2021,34671049
7ekg,SARS-CoV-2,Beta,RBD,,ACE2,2.63,11/3/2021,34671049
7ekh,SARS-CoV-2,Orig,RBD,,ACE2,2.4,11/3/2021,34671049
7f5r,SARS-CoV-2,Orig,RBD,,ACE2,3.01,6/22/2022,null
7fc5,SARS-CoV-2,Orig,RBD,,ACE2,2.89,6/22/2022,null
7fdg,SARS-CoV-2,Alpha,RBD,,ACE2,3.69,8/25/2021,null
7fdh,SARS-CoV-2,Alpha,RBD,,ACE2,3.72,8/25/2021,null
7fdi,SARS-CoV-2,none,RBD,,ACE2,3.12,8/25/2021,null
7fdk,SARS-CoV-2,none,RBD,,ACE2,3.69,8/25/2021,null
7l0n,SARS-CoV-2,Orig,RBD,"S304, S309",ACE2,2.78,2/17/2021,33621484
7l7f,SARS-CoV-2,none,RBD,,ACE2,3.24,2/24/2021,33524990
7lo4,SARS-CoV-2,none,RBD,,ACE2,2.46,3/31/2021,null
7nxc,SARS-CoV-2,Gamma,RBD,,ACE2,3.14,4/7/2021,33852911
7p19,SARS-CoV-2,Orig,RBD,,ACE2,3.24,7/13/2022,null
7pki,SARS-CoV-2,none,RBD,,ACE2,2.94,1/19/2022,null
7r0z,SARS-CoV-2,Alpha,RBD,,ACE2,3.5,3/9/2022,null
7r10,SARS-CoV-2,Alpha,"RBD, NTD",,ACE2,4,3/2/2022,null
7r11,SARS-CoV-2,Beta,RBD,,ACE2,3.5,3/9/2022,null
7r12,SARS-CoV-2,none,RBD,,ACE2,3.3,3/9/2022,null
7rpv,SARS-CoV-2,Orig,RBD,,ACE2,3.54,12/15/2021,34845451
7sn0,SARS-CoV-2,none,RBD,,ACE2,1.83,7/21/2021,34261126
7spp,SARS-CoV-2,Orig,RBD,,ACE2,1.83,7/21/2021,34261126
7sxy,SARS-CoV-2,none,RBD,,ACE2,2.79,12/29/2021,34914928
7sy0,SARS-CoV-2,none,RBD,,ACE2,3,12/29/2021,34914928
7sy2,SARS-CoV-2,none,RBD,,ACE2,3.11,12/29/2021,34914928
7sy4,SARS-CoV-2,none,RBD,,ACE2,3.35,12/29/2021,34914928
7sy6,SARS-CoV-2,none,RBD,,ACE2,2.81,12/29/2021,34914928
