S/N,PDBID_Lig,PDBID_Lig_Size,PDBID_Targ,PDBID_Targ_Size,No_Map,Targ_Chain,Lig_Chain
1,1RLB,13,7ekc,7,8,B,B
1,1RLB,13,7ekg,6,6,B,B
1,1RLB,13,7ekh,6,5,B,A
1,1RLB,13,7wnm,6,5,A,A
1,1RLB,13,7wsh,6,5,B,A
1,1RLB,13,7xo6,6,5,A,B
1,1RLB,13,7xoc,6,5,A,B
